days,miles,receipts,output,per_day,per_mile,efficiency,spending_per_day,predicted,error
3,93.0,1.42,364.51,121.50333333333333,3.919462365591398,31.0,0.47333333333333333,355.218,9.291999999999973
1,55.0,3.6,126.06,126.06,2.2920000000000003,55.0,3.6,135.14000000000001,9.080000000000013
1,47.0,17.97,128.91,128.91,2.7427659574468084,47.0,17.97,143.433,14.522999999999996
2,13.0,4.67,203.52,101.76,15.655384615384616,6.5,2.335,211.743,8.222999999999985
3,88.0,5.78,380.37,126.79,4.3223863636363635,29.333333333333332,1.9266666666666667,356.242,24.127999999999986
1,76.0,13.74,158.35,158.35,2.0835526315789474,76.0,13.74,156.44599999999997,1.9040000000000248
3,41.0,4.52,320.12,106.70666666666666,7.80780487804878,13.666666666666666,1.5066666666666666,327.84799999999996,7.727999999999952
1,140.0,22.71,199.68,199.68,1.4262857142857144,140.0,22.71,196.439,3.241000000000014
3,121.0,21.17,464.07,154.69,3.835289256198347,40.333333333333336,7.0566666666666675,386.503,77.56700000000001
3,117.0,21.99,359.1,119.7,3.0692307692307694,39.0,7.329999999999999,385.441,26.34099999999995
2,202.0,21.24,356.17,178.085,1.7632178217821783,101.0,10.62,323.01599999999996,33.15400000000005
3,80.0,21.05,366.87,122.29,4.585875,26.666666666666668,7.016666666666667,365.34499999999997,1.525000000000034
2,21.0,20.04,204.58,102.29,9.741904761904763,10.5,10.02,230.216,25.635999999999996
3,177.0,18.73,430.86,143.62,2.434237288135593,59.0,6.243333333333333,409.50699999999995,21.353000000000065
1,141.0,10.15,195.14,195.14,1.3839716312056736,141.0,10.15,185.58499999999998,9.555000000000007
1,58.0,5.86,117.24,117.24,2.0213793103448277,58.0,5.86,138.914,21.673999999999992
1,133.0,8.34,179.06,179.06,1.3463157894736841,133.0,8.34,180.356,1.2959999999999923
1,59.0,8.31,120.65,120.65,2.044915254237288,59.0,8.31,141.699,21.049000000000007
2,89.0,13.85,234.2,117.1,2.6314606741573034,44.5,6.925,264.085,29.88499999999999
2,147.0,17.43,325.56,162.78,2.2146938775510203,73.5,8.715,294.837,30.723000000000013
5,130.0,306.9,574.1,114.82000000000001,4.416153846153846,26.0,61.379999999999995,785.64,211.53999999999996
5,173.0,1337.9,1443.96,288.79200000000003,8.346589595375722,34.6,267.58000000000004,1423.5900000000001,20.36999999999989
5,592.0,433.75,869.0,173.8,1.4679054054054055,118.4,86.75,1069.65,200.6500000000001
5,679.0,476.08,1030.41,206.08200000000002,1.5175405007363771,135.8,95.216,1134.1979999999999,103.78799999999978
5,708.0,1129.52,1654.62,330.924,2.3370338983050845,141.6,225.904,1539.312,115.30799999999999
5,261.0,464.94,621.12,124.224,2.3797701149425285,52.2,92.988,939.414,318.294
5,794.0,511.0,1139.94,227.988,1.4356926952141058,158.8,102.2,1206.9,66.96000000000004
5,521.0,1448.55,1624.01,324.802,3.117101727447217,104.2,289.71,1646.58,22.569999999999936
5,595.0,863.93,1231.67,246.334,2.070033613445378,119.0,172.786,1329.108,97.43799999999987
5,811.0,952.39,1608.6,321.71999999999997,1.98347718865598,162.2,190.478,1479.384,129.2159999999999
5,477.0,704.42,1045.96,209.192,2.1927882599580713,95.4,140.884,1180.302,134.34199999999987
5,730.0,485.73,991.49,198.298,1.3582054794520548,146.0,97.146,1162.938,171.4480000000001
5,262.0,1173.79,1485.59,297.118,5.670190839694656,52.4,234.75799999999998,1365.174,120.41599999999994
5,446.0,219.98,788.62,157.724,1.7682062780269059,89.2,43.995999999999995,875.6880000000001,87.0680000000001
5,751.0,407.43,1063.46,212.692,1.416058588548602,150.2,81.486,1125.408,61.947999999999865
5,324.0,128.94,686.54,137.308,2.1189506172839505,64.8,25.788,766.164,79.62400000000002
5,414.0,967.0,1368.94,273.788,3.3066183574879227,82.8,193.4,1309.5,59.440000000000055
5,367.0,290.78,742.25,148.45,2.0224795640326976,73.4,58.15599999999999,882.6179999999999,140.36799999999994
5,764.0,848.75,1468.46,293.692,1.922068062827225,152.8,169.75,1396.05,72.41000000000008
5,249.0,873.75,1185.24,237.048,4.76,49.8,174.75,1179.3,5.940000000000055
8,862.0,1817.85,1719.37,214.92125,1.994628770301624,107.75,227.23125,2321.6099999999997,602.2399999999998
11,927.0,1994.33,1779.12,161.7381818181818,1.9192233009708737,84.27272727272727,181.30272727272725,2756.748,977.6280000000002
9,602.0,186.69,1085.4,120.60000000000001,1.8029900332225914,66.88888888888889,20.743333333333332,1325.9140000000002,240.51400000000012
8,610.0,208.29,841.27,105.15875,1.3791311475409835,76.25,26.03625,1242.474,401.20399999999995
12,333.0,1103.21,1618.13,134.84416666666667,4.85924924924925,27.75,91.93416666666667,2054.776,436.64599999999973
