days,miles,receipts,output,output_per_receipt,receipts_times_days,output_per_receipts_days,adjusted_per_day_50,adjusted_per_day_60,adjusted_per_day_70,adjusted_per_day_80,adjusted_per_day_90,adjusted_per_day_100,adjusted_per_day_110,adjusted_per_day_120,adjusted_per_day_130,adjusted_per_day_140,adjusted_per_day_150,predicted,error,predicted_best,error_best,predicted_3comp,error_3comp
3,93.0,1.42,364.51,256.69718309859155,4.26,85.56572769953051,97.83666666666666,93.10333333333334,88.37,83.63666666666667,78.90333333333332,74.17,69.43666666666667,64.70333333333333,59.97,55.23666666666667,50.50333333333333,770.4,405.89,311.0,53.50999999999999,342.4,22.110000000000014
1,55.0,3.6,126.06,35.016666666666666,3.6,35.016666666666666,-53.94,-89.94,-125.94,-161.94,-197.94,-233.94,-269.94,-305.94,-341.94,-377.94,-413.94,632.0,505.94,260.0,133.94,357.0,230.94
1,47.0,17.97,128.91,7.173622704507513,17.97,7.173622704507513,-769.59,-949.2899999999998,-1128.9899999999998,-1308.6899999999998,-1488.3899999999999,-1668.09,-1847.7899999999997,-2027.4899999999996,-2207.19,-2386.89,-2566.59,2356.3999999999996,2227.49,978.5,849.59,1354.8999999999999,1225.9899999999998
2,13.0,4.67,203.52,43.58029978586724,9.34,21.79014989293362,-14.989999999999995,-38.33999999999999,-61.68999999999998,-85.04,-108.39,-131.74,-155.09000000000003,-178.44,-201.79000000000002,-225.14,-248.49,960.4,756.88,393.5,189.98,439.9,236.37999999999997
3,88.0,5.78,380.37,65.80795847750865,17.34,21.935986159169552,30.456666666666667,11.189999999999998,-8.076666666666673,-27.343333333333344,-46.610000000000014,-65.87666666666667,-85.14333333333336,-104.41000000000001,-123.67666666666666,-142.94333333333336,-162.21,1293.6,913.2299999999999,529.0,148.63,642.6,262.23
1,76.0,13.74,158.35,11.524745269286754,13.74,11.524745269286754,-528.65,-666.05,-803.45,-940.85,-1078.25,-1215.65,-1353.0500000000002,-1490.45,-1627.8500000000001,-1765.2500000000002,-1902.65,1848.8,1690.45,767.0,608.65,1087.8000000000002,929.4500000000002
3,41.0,4.52,320.12,70.82300884955752,13.559999999999999,23.607669616519175,31.373333333333346,16.306666666666672,1.240000000000009,-13.826666666666654,-28.893333333333317,-43.95999999999998,-59.02666666666664,-74.09333333333332,-89.15999999999997,-104.22666666666665,-119.2933333333333,1142.4,822.2800000000001,466.0,145.88,507.4,187.27999999999997
1,140.0,22.71,199.68,8.792602377807134,22.71,8.792602377807134,-935.8199999999999,-1162.92,-1390.02,-1617.1200000000001,-1844.22,-2071.32,-2298.42,-2525.5200000000004,-2752.6200000000003,-2979.7200000000003,-3206.82,2925.2000000000003,2725.5200000000004,1215.5,1015.8199999999999,1779.7,1580.02
3,121.0,21.17,464.07,21.921114785073215,63.510000000000005,7.307038261691072,-198.14333333333335,-268.71000000000004,-339.2766666666667,-409.8433333333334,-480.4100000000001,-550.9766666666667,-621.5433333333334,-692.11,-762.6766666666667,-833.2433333333333,-903.8100000000001,3140.4,2676.33,1298.5,834.4300000000001,1752.9,1288.8300000000002
3,117.0,21.99,359.1,16.330150068212827,65.97,5.4433833560709415,-246.79999999999998,-320.09999999999997,-393.3999999999999,-466.7,-540.0,-613.3000000000001,-686.5999999999999,-759.9,-833.1999999999999,-906.5,-979.7999999999998,3238.7999999999997,2879.7,1339.5,980.4,1806.3,1447.1999999999998
2,202.0,21.24,356.17,16.76883239171375,42.48,8.384416195856875,-352.91499999999996,-459.1149999999999,-565.3149999999999,-671.5149999999999,-777.7149999999999,-883.915,-990.1149999999998,-1096.3149999999998,-1202.5149999999999,-1308.715,-1414.9149999999997,2948.7999999999997,2592.6299999999997,1222.0,865.8299999999999,1788.8,1432.6299999999999
3,80.0,21.05,366.87,17.42850356294537,63.150000000000006,5.809501187648456,-228.54333333333332,-298.71,-368.8766666666667,-439.04333333333335,-509.21000000000004,-579.3766666666667,-649.5433333333334,-719.71,-789.8766666666667,-860.0433333333334,-930.21,3126.0,2759.13,1292.5,925.63,1703.5,1336.63
2,21.0,20.04,204.58,10.208582834331338,40.08,5.104291417165669,-398.71,-498.9099999999999,-599.11,-699.31,-799.51,-899.71,-999.9100000000001,-1100.11,-1200.31,-1300.51,-1400.71,2804.7999999999997,2600.22,1162.0,957.42,1523.8,1319.22
3,177.0,18.73,430.86,23.003737319807794,56.19,7.667912439935932,-168.54666666666665,-230.98,-293.41333333333336,-355.84666666666664,-418.28000000000003,-480.7133333333333,-543.1466666666666,-605.5799999999999,-668.0133333333333,-730.4466666666667,-792.88,2847.6,2416.74,1176.5,745.64,1638.1000000000001,1207.2400000000002
1,141.0,10.15,195.14,19.225615763546795,10.15,19.225615763546795,-312.36,-413.86,-515.36,-616.86,-718.36,-819.86,-921.36,-1022.86,-1124.3600000000001,-1225.8600000000001,-1327.3600000000001,1418.0,1222.8600000000001,587.5,392.36,901.5,706.36
1,58.0,5.86,117.24,20.00682593856655,5.86,20.00682593856655,-175.76,-234.36,-292.96000000000004,-351.56,-410.15999999999997,-468.76,-527.36,-585.96,-644.5600000000001,-703.1600000000001,-761.76,903.2,785.96,373.0,255.76,518.2,400.96000000000004
1,133.0,8.34,179.06,21.47002398081535,8.34,21.47002398081535,-237.94,-321.34,-404.73999999999995,-488.14000000000004,-571.54,-654.94,-738.3399999999999,-821.74,-905.1400000000001,-988.54,-1071.94,1200.8,1021.74,497.0,317.94,766.8,587.74
1,59.0,8.31,120.65,14.518652226233453,8.31,14.518652226233453,-294.85,-377.95000000000005,-461.05000000000007,-544.1500000000001,-627.2500000000001,-710.35,-793.45,-876.5500000000001,-959.65,-1042.75,-1125.85,1197.2,1076.55,495.5,374.85,690.7,570.0500000000001
2,89.0,13.85,234.2,16.90974729241877,27.7,8.454873646209386,-229.15,-298.4,-367.65,-436.9,-506.15,-575.4,-644.65,-713.9,-783.15,-852.4,-921.65,2062.0,1827.8,852.5,618.3,1158.5,924.3
2,147.0,17.43,325.56,18.67814113597246,34.86,9.33907056798623,-272.97,-360.12,-447.27,-534.4200000000001,-621.57,-708.72,-795.87,-883.02,-970.1700000000001,-1057.32,-1144.47,2491.6,2166.04,1031.5,705.94,1467.1,1141.54
5,130.0,306.9,574.1,1.8706419028999677,1534.5,0.3741283805799935,-2954.1799999999994,-3567.9800000000005,-4181.780000000001,-4795.58,-5409.379999999999,-6023.179999999999,-6636.9800000000005,-7250.780000000001,-7864.58,-8478.380000000001,-9092.18,37828.0,37253.9,15744.999999999998,15170.899999999998,21863.0,21288.9
5,173.0,1337.9,1443.96,1.0792734883025636,6689.5,0.21585469766051274,-13090.208,-15766.007999999998,-18441.807999999997,-21117.608,-23793.408000000003,-26469.208000000002,-29145.008,-31820.808,-34496.608,-37172.408,-39848.208,161548.0,160104.04,67295.0,65851.04,94076.0,92632.04
5,592.0,433.75,869.0,2.003458213256484,2168.75,0.4006916426512968,-4163.7,-5031.2,-5898.7,-6766.2,-7633.7,-8501.2,-9368.7,-10236.2,-11103.7,-11971.2,-12838.7,53050.0,52181.0,22087.5,21218.5,31204.5,30335.5
5,679.0,476.08,1030.41,2.1643631322466814,2380.4,0.4328726264493363,-4554.718,-5506.878,-6459.038,-7411.197999999999,-8363.357999999998,-9315.518,-10267.677999999998,-11219.838,-12171.998,-13124.158,-14076.318,58129.6,57099.189999999995,24204.0,23173.59,34254.6,33224.189999999995
5,708.0,1129.52,1654.62,1.4648877399249238,5647.6,0.2929775479849847,-10964.276,-13223.316,-15482.356,-17741.396,-20000.436,-22259.476000000002,-24518.516,-26777.556,-29036.596,-31295.636,-33554.676,136542.4,134887.78,56876.0,55221.38,80024.4,78369.78
5,261.0,464.94,621.12,1.3359143115240677,2324.7,0.26718286230481353,-4525.176,-5455.0560000000005,-6384.936,-7314.815999999999,-8244.696,-9174.576,-10104.456,-11034.336,-11964.215999999999,-12894.096,-13823.976,56792.8,56171.68,23647.0,23025.88,33056.8,32435.680000000004
5,794.0,511.0,1139.94,2.230802348336595,2555.0,0.446160469667319,-4882.012000000001,-5904.012000000001,-6926.012,-7948.012,-8970.011999999999,-9992.011999999999,-11014.011999999999,-12036.011999999999,-13058.011999999999,-14080.011999999999,-15102.011999999999,62320.0,61180.06,25950.0,24810.06,36814.0,35674.06
5,521.0,1448.55,1624.01,1.1211280245763005,7242.75,0.22422560491526008,-14160.698,-17057.798000000003,-19954.898,-22851.998,-25749.098,-28646.197999999997,-31543.298,-34440.398,-37337.498,-40234.598,-43131.698,174826.0,173201.99,72827.5,71203.49,102169.5,100545.49
5,595.0,863.93,1231.67,1.4256594863009737,4319.65,0.2851318972601947,-8392.966,-10120.826,-11848.686,-13576.545999999998,-15304.405999999999,-17032.266,-18760.125999999997,-20487.985999999997,-22215.845999999998,-23943.706,-25671.566,104671.59999999999,103439.93,43596.5,42364.83,61320.1,60088.43
5,811.0,952.39,1608.6,1.6890139543674334,4761.95,0.3378027908734867,-9202.18,-11106.960000000001,-13011.740000000002,-14916.519999999999,-16821.3,-18726.079999999998,-20630.859999999997,-22535.64,-24440.42,-26345.2,-28249.98,115286.8,113678.2,48019.5,46410.9,67728.3,66119.7
5,477.0,704.42,1045.96,1.4848527866897592,3522.1,0.2969705573379518,-6835.008,-8243.848,-9652.687999999998,-11061.528,-12470.367999999999,-13879.207999999999,-15288.047999999999,-16696.888,-18105.727999999996,-19514.567999999996,-20923.408,85530.4,84484.43999999999,35621.0,34575.04,50036.399999999994,48990.439999999995
5,730.0,485.73,991.49,2.0412369011590803,2428.65,0.408247380231816,-4659.0019999999995,-5630.462,-6601.9220000000005,-7573.3820000000005,-8544.842,-9516.302,-10487.762,-11459.222000000002,-12430.682,-13402.141999999998,-14373.601999999999,59287.600000000006,58296.11000000001,24686.5,23695.01,34981.1,33989.61
5,262.0,1173.79,1485.59,1.2656352499169357,5868.95,0.25312704998338714,-11440.782000000001,-13788.362,-16135.942000000001,-18483.522,-20831.102,-23178.682,-25526.262,-27873.841999999997,-30221.422,-32569.002,-34916.582,141854.8,140369.21,59089.5,57603.91,82677.3,81191.71
5,446.0,219.98,788.62,3.584962269297209,1099.8999999999999,0.7169924538594419,-2042.0759999999998,-2482.0359999999996,-2921.9959999999996,-3361.9559999999997,-3801.916,-4241.876,-4681.836,-5121.796,-5561.755999999999,-6001.715999999999,-6441.676,27397.6,26608.98,11399.0,10610.38,16094.599999999999,15305.979999999998
5,751.0,407.43,1063.46,2.610166163512751,2037.15,0.5220332327025501,-3861.608,-4676.468,-5491.328,-6306.188,-7121.048,-7935.908,-8750.768,-9565.628,-10380.488000000001,-11195.348000000002,-12010.208,49891.6,48828.14,20771.5,19708.04,29521.100000000002,28457.640000000003
5,324.0,128.94,686.54,5.324492011788428,644.7,1.0648984023576855,-1152.092,-1409.972,-1667.8519999999996,-1925.732,-2183.612,-2441.4919999999997,-2699.3720000000003,-2957.2519999999995,-3215.132,-3473.0119999999997,-3730.892,16472.8,15786.259999999998,6847.0,6160.46,9599.8,8913.259999999998
5,414.0,967.0,1368.94,1.4156566701137538,4835.0,0.2831313340227508,-9396.212,-11330.212,-13264.212,-15198.212,-17132.212,-19066.212,-21000.212,-22934.212,-24868.212,-26802.212,-28736.212,117040.0,115671.06,48750.0,47381.06,68354.0,66985.06
5,367.0,290.78,742.25,2.5526170988376093,1453.8999999999999,0.5105234197675219,-2759.3499999999995,-3340.91,-3922.47,-4504.03,-5085.589999999999,-5667.15,-6248.709999999999,-6830.2699999999995,-7411.829999999999,-7993.389999999999,-8574.949999999999,35893.6,35151.35,14938.999999999998,14196.749999999998,20971.6,20229.35
5,764.0,848.75,1468.46,1.7301443298969073,4243.75,0.34602886597938143,-8193.808,-9891.308,-11588.808,-13286.307999999999,-14983.807999999999,-16681.307999999997,-18378.807999999997,-20076.307999999997,-21773.807999999997,-23471.307999999997,-25168.807999999997,102850.0,101381.54,42837.5,41369.04,60426.5,58958.04
5,249.0,873.75,1185.24,1.3564978540772532,4368.75,0.27129957081545064,-8500.452000000001,-10247.952000000001,-11995.452000000001,-13742.952,-15490.452,-17237.951999999997,-18985.451999999997,-20732.951999999997,-22480.451999999997,-24227.951999999997,-25975.451999999997,105850.0,104664.76,44087.5,42902.26,61661.5,60476.26
8,862.0,1817.85,1719.37,0.945826113265671,14542.8,0.11822826415820888,-11146.64125,-13418.95375,-15691.26625,-17963.57875,-20235.89125,-22508.20375,-24780.51625,-27052.82875,-29325.14125,-31597.45375,-33869.76625,219742.0,218022.63,91532.5,89813.13,128511.5,126792.13
11,927.0,1994.33,1779.12,0.8920890725205959,21937.629999999997,0.08109900659278145,-8903.398181818182,-10716.425454545453,-12529.452727272728,-14342.48,-16155.50727272727,-17968.534545454546,-19781.561818181817,-21594.58909090909,-23407.616363636364,-25220.64363636364,-27033.67090909091,241519.59999999998,239740.47999999998,100596.5,98817.38,141080.1,139300.98
9,602.0,186.69,1085.4,5.813916117628154,1680.21,0.6459906797364615,-916.5666666666667,-1124.0,-1331.4333333333334,-1538.8666666666668,-1746.3,-1953.7333333333331,-2161.1666666666665,-2368.6,-2576.0333333333333,-2783.4666666666662,-2990.8999999999996,24202.8,23117.399999999998,10054.5,8969.1,14120.3,13034.9
