days,miles,receipts,output
3,93.0,1.42,364.51
1,55.0,3.6,126.06
1,47.0,17.97,128.91
2,13.0,4.67,203.52
3,88.0,5.78,380.37
1,76.0,13.74,158.35
3,41.0,4.52,320.12
1,140.0,22.71,199.68
3,121.0,21.17,464.07
3,117.0,21.99,359.1
2,202.0,21.24,356.17
3,80.0,21.05,366.87
2,21.0,20.04,204.58
3,177.0,18.73,430.86
1,141.0,10.15,195.14
1,58.0,5.86,117.24
1,133.0,8.34,179.06
1,59.0,8.31,120.65
2,89.0,13.85,234.2
2,147.0,17.43,325.56
5,130.0,306.9,574.1
5,173.0,1337.9,1443.96
5,592.0,433.75,869.0
5,679.0,476.08,1030.41
5,708.0,1129.52,1654.62
5,261.0,464.94,621.12
5,794.0,511.0,1139.94
5,521.0,1448.55,1624.01
5,595.0,863.93,1231.67
5,811.0,952.39,1608.6
5,477.0,704.42,1045.96
5,730.0,485.73,991.49
5,262.0,1173.79,1485.59
5,446.0,219.98,788.62
5,751.0,407.43,1063.46
5,324.0,128.94,686.54
5,414.0,967.0,1368.94
5,367.0,290.78,742.25
5,764.0,848.75,1468.46
5,249.0,873.75,1185.24
8,862.0,1817.85,1719.37
11,927.0,1994.33,1779.12
9,602.0,186.69,1085.4
8,610.0,208.29,841.27
12,333.0,1103.21,1618.13
8,435.0,1129.65,1525.26
9,218.0,1203.45,1561.63
12,781.0,1159.18,1752.72
11,916.0,1036.91,2098.07
10,358.0,2066.62,1624.11
12,566.0,2013.7,1752.03
9,954.0,1483.39,2024.2
9,534.0,1929.94,1624.87
12,765.0,1343.97,1953.03
8,630.0,967.69,1388.05
10,909.0,696.0,1505.19
10,223.0,745.89,1037.45
8,467.0,1178.71,1483.33
9,708.0,461.07,1110.6
9,885.0,1764.97,1694.37
6,855.0,591.35,1339.72
2,993.0,54.24,715.19
5,685.0,747.14,1216.36
3,981.0,341.45,813.95
5,770.0,873.33,1502.49
6,697.0,651.64,1237.71
3,795.0,450.85,743.94
3,606.0,1184.23,1364.54
3,842.0,865.37,1251.14
7,748.0,241.73,971.31
7,624.0,148.16,905.79
2,713.0,740.33,1048.28
3,874.0,1191.4,1515.99
6,761.0,530.19,1120.1
1,815.0,97.89,539.36
1,601.0,497.7,644.12
7,817.0,1127.87,1809.91
1,606.0,923.0,1050.05
1,909.0,741.82,866.07
3,624.0,1160.92,1459.34
4,650.0,619.49,676.38
6,204.0,818.99,628.4
1,263.0,396.49,198.42
1,451.0,555.49,162.18
10,424.0,474.99,831.96
2,565.0,389.49,415.96
9,397.0,348.49,913.29
1,532.0,413.99,355.57
2,384.0,495.49,290.36
5,754.0,489.99,765.13
1,344.46,813.85,707.88
3,906.3,540.03,848.42
3,1007.56,187.52,764.64
1,359.62,221.15,255.57
1,362.79,749.19,636.51
1,288.72,159.26,303.94
2,782.17,830.72,1165.44
2,623.18,347.54,625.15
3,1061.15,388.5,693.36
1,252.75,285.5,331.74
3,1020.39,250.62,779.08
1,257.97,816.81,738.01
3,1025.03,592.55,992.4
2,794.32,402.31,671.06
1,276.85,485.54,361.66
2,851.68,473.96,650.68
3,859.12,611.07,960.47
3,1317.07,476.87,787.42
1,388.1,827.37,741.46
1,264.39,758.27,636.19
5,198.21,594.83,807.48
6,72.85,457.75,666.59
8,297.64,481.09,835.08
7,237.33,1262.27,1452.17
5,195.73,1228.49,511.23
8,276.28,1179.9,1522.6
8,302.24,1046.04,1353.77
8,266.87,252.08,880.41
9,310.69,239.64,828.16
6,222.08,709.07,1031.34
8,264.94,720.67,1019.85
8,161.15,1230.37,1499.24
9,259.96,554.74,835.54
9,97.85,518.56,850.57
9,194.34,1054.93,1374.9
9,332.35,374.61,830.45
5,126.44,696.14,845.35
5,66.13,848.03,1050.25
6,135.34,1144.13,1478.11
6,233.7,346.98,648.57
9,849.0,1007.41,1785.47
6,806.0,1760.64,1718.76
8,891.0,1194.36,2016.46
9,1182.0,1342.24,2164.15
7,1010.0,1514.03,2063.98
8,892.0,1768.53,1902.37
6,825.0,1692.73,1817.77
