days,miles,receipts,output,receipt_factor,residual_0.5,residual_0.6,residual_0.7,residual_0.8,residual_0.9,residual_1.0,base_per_day,predicted_lookup,error_lookup
3,93.0,1.42,364.51,256.69718309859155,121.26666666666667,121.21933333333334,121.17199999999998,121.12466666666666,121.07733333333333,121.02999999999999,121.17199999999998,402.994,38.48400000000004
1,55.0,3.6,126.06,35.016666666666666,124.26,123.9,123.54,123.18,122.82000000000001,122.46000000000001,123.54,248.52,122.46000000000001
1,47.0,17.97,128.91,7.173622704507513,119.925,118.128,116.331,114.53399999999999,112.737,110.94,116.331,258.579,129.669
2,13.0,4.67,203.52,43.58029978586724,100.5925,100.35900000000001,100.1255,99.89200000000001,99.6585,99.42500000000001,100.1255,371.269,167.749
3,88.0,5.78,380.37,65.80795847750865,125.82666666666667,125.634,125.44133333333333,125.24866666666667,125.056,124.86333333333334,125.44133333333333,406.046,25.675999999999988
1,76.0,13.74,158.35,11.524745269286754,151.48,150.106,148.732,147.358,145.98399999999998,144.60999999999999,148.732,255.618,97.268
3,41.0,4.52,320.12,70.82300884955752,105.95333333333333,105.80266666666667,105.652,105.50133333333333,105.35066666666667,105.2,105.652,405.164,85.04399999999998
1,140.0,22.71,199.68,8.792602377807134,188.32500000000002,186.054,183.78300000000002,181.512,179.241,176.97,183.78300000000002,261.897,62.216999999999985
3,121.0,21.17,464.07,21.921114785073215,151.16166666666666,150.456,149.75033333333332,149.04466666666667,148.339,147.63333333333333,149.75033333333332,416.819,47.250999999999976
3,117.0,21.99,359.1,16.330150068212827,116.03500000000001,115.302,114.56900000000002,113.83600000000001,113.10300000000001,112.37,114.56900000000002,417.393,58.29299999999995
2,202.0,21.24,356.17,16.76883239171375,172.775,171.71300000000002,170.651,169.589,168.52700000000002,167.465,170.651,382.868,26.69799999999998
3,80.0,21.05,366.87,17.42850356294537,118.78166666666668,118.08,117.37833333333333,116.67666666666668,115.97500000000001,115.27333333333333,117.37833333333333,416.735,49.86500000000001
2,21.0,20.04,204.58,10.208582834331338,97.28,96.278,95.27600000000001,94.274,93.272,92.27000000000001,95.27600000000001,382.028,177.448
3,177.0,18.73,430.86,23.003737319807794,140.49833333333333,139.874,139.24966666666668,138.62533333333334,138.001,137.37666666666667,139.24966666666668,415.111,15.749000000000024
1,141.0,10.15,195.14,19.225615763546795,190.065,189.04999999999998,188.035,187.01999999999998,186.005,184.98999999999998,188.035,253.105,57.965
1,58.0,5.86,117.24,20.00682593856655,114.30999999999999,113.72399999999999,113.13799999999999,112.55199999999999,111.966,111.38,113.13799999999999,250.102,132.86200000000002
1,133.0,8.34,179.06,21.47002398081535,174.89000000000001,174.056,173.222,172.388,171.554,170.72,173.222,251.838,72.77799999999999
1,59.0,8.31,120.65,14.518652226233453,116.495,115.664,114.833,114.00200000000001,113.171,112.34,114.833,251.817,131.167
2,89.0,13.85,234.2,16.90974729241877,113.63749999999999,112.945,112.2525,111.55999999999999,110.86749999999999,110.175,112.2525,377.695,143.495
2,147.0,17.43,325.56,18.67814113597246,158.4225,157.551,156.6795,155.808,154.9365,154.065,156.6795,380.201,54.64100000000002
5,130.0,306.9,574.1,1.8706419028999677,84.13000000000001,77.992,71.85400000000001,65.71600000000001,59.57800000000001,53.44000000000001,71.85400000000001,824.8299999999999,250.7299999999999
5,173.0,1337.9,1443.96,1.0792734883025636,155.002,128.244,101.48600000000002,74.72799999999998,47.969999999999985,21.21199999999999,101.48600000000002,1546.53,102.56999999999994
5,592.0,433.75,869.0,2.003458213256484,130.425,121.75,113.075,104.4,95.725,87.05,113.075,913.625,44.625
