days,miles,receipts,output,output_rounded,efficiency,spending_per_day
3,93.0,1.42,364.51,365.0,31.0,0.47333333333333333
1,55.0,3.6,126.06,126.0,55.0,3.6
1,47.0,17.97,128.91,129.0,47.0,17.97
2,13.0,4.67,203.52,204.0,6.5,2.335
3,88.0,5.78,380.37,380.0,29.333333333333332,1.9266666666666667
1,76.0,13.74,158.35,158.0,76.0,13.74
3,41.0,4.52,320.12,320.0,13.666666666666666,1.5066666666666666
1,140.0,22.71,199.68,200.0,140.0,22.71
3,121.0,21.17,464.07,464.0,40.333333333333336,7.0566666666666675
3,117.0,21.99,359.1,359.0,39.0,7.329999999999999
2,202.0,21.24,356.17,356.0,101.0,10.62
3,80.0,21.05,366.87,367.0,26.666666666666668,7.016666666666667
2,21.0,20.04,204.58,205.0,10.5,10.02
3,177.0,18.73,430.86,431.0,59.0,6.243333333333333
1,141.0,10.15,195.14,195.0,141.0,10.15
1,58.0,5.86,117.24,117.0,58.0,5.86
1,133.0,8.34,179.06,179.0,133.0,8.34
1,59.0,8.31,120.65,121.0,59.0,8.31
2,89.0,13.85,234.2,234.0,44.5,6.925
2,147.0,17.43,325.56,326.0,73.5,8.715
5,130.0,306.9,574.1,574.0,26.0,61.379999999999995
5,173.0,1337.9,1443.96,1444.0,34.6,267.58000000000004
5,592.0,433.75,869.0,869.0,118.4,86.75
5,679.0,476.08,1030.41,1030.0,135.8,95.216
5,708.0,1129.52,1654.62,1655.0,141.6,225.904
5,261.0,464.94,621.12,621.0,52.2,92.988
5,794.0,511.0,1139.94,1140.0,158.8,102.2
5,521.0,1448.55,1624.01,1624.0,104.2,289.71
5,595.0,863.93,1231.67,1232.0,119.0,172.786
5,811.0,952.39,1608.6,1609.0,162.2,190.478
5,477.0,704.42,1045.96,1046.0,95.4,140.884
5,730.0,485.73,991.49,991.0,146.0,97.146
5,262.0,1173.79,1485.59,1486.0,52.4,234.75799999999998
5,446.0,219.98,788.62,789.0,89.2,43.995999999999995
5,751.0,407.43,1063.46,1063.0,150.2,81.486
5,324.0,128.94,686.54,687.0,64.8,25.788
5,414.0,967.0,1368.94,1369.0,82.8,193.4
5,367.0,290.78,742.25,742.0,73.4,58.15599999999999
5,764.0,848.75,1468.46,1468.0,152.8,169.75
5,249.0,873.75,1185.24,1185.0,49.8,174.75
8,862.0,1817.85,1719.37,1719.0,107.75,227.23125
11,927.0,1994.33,1779.12,1779.0,84.27272727272727,181.30272727272725
9,602.0,186.69,1085.4,1085.0,66.88888888888889,20.743333333333332
8,610.0,208.29,841.27,841.0,76.25,26.03625
12,333.0,1103.21,1618.13,1618.0,27.75,91.93416666666667
8,435.0,1129.65,1525.26,1525.0,54.375,141.20625
9,218.0,1203.45,1561.63,1562.0,24.22222222222222,133.71666666666667
12,781.0,1159.18,1752.72,1753.0,65.08333333333333,96.59833333333334
11,916.0,1036.91,2098.07,2098.0,83.27272727272727,94.26454545454546
10,358.0,2066.62,1624.11,1624.0,35.8,206.66199999999998
12,566.0,2013.7,1752.03,1752.0,47.166666666666664,167.80833333333334
9,954.0,1483.39,2024.2,2024.0,106.0,164.82111111111112
9,534.0,1929.94,1624.87,1625.0,59.333333333333336,214.4377777777778
12,765.0,1343.97,1953.03,1953.0,63.75,111.9975
8,630.0,967.69,1388.05,1388.0,78.75,120.96125
10,909.0,696.0,1505.19,1505.0,90.9,69.6
10,223.0,745.89,1037.45,1037.0,22.3,74.589
8,467.0,1178.71,1483.33,1483.0,58.375,147.33875
9,708.0,461.07,1110.6,1111.0,78.66666666666667,51.23
9,885.0,1764.97,1694.37,1694.0,98.33333333333333,196.10777777777778
6,855.0,591.35,1339.72,1340.0,142.5,98.55833333333334
2,993.0,54.24,715.19,715.0,496.5,27.12
5,685.0,747.14,1216.36,1216.0,137.0,149.428
3,981.0,341.45,813.95,814.0,327.0,113.81666666666666
5,770.0,873.33,1502.49,1502.0,154.0,174.666
6,697.0,651.64,1237.71,1238.0,116.16666666666667,108.60666666666667
3,795.0,450.85,743.94,744.0,265.0,150.28333333333333
3,606.0,1184.23,1364.54,1365.0,202.0,394.74333333333334
3,842.0,865.37,1251.14,1251.0,280.6666666666667,288.45666666666665
7,748.0,241.73,971.31,971.0,106.85714285714286,34.53285714285714
7,624.0,148.16,905.79,906.0,89.14285714285714,21.165714285714284
2,713.0,740.33,1048.28,1048.0,356.5,370.165
3,874.0,1191.4,1515.99,1516.0,291.3333333333333,397.1333333333334
6,761.0,530.19,1120.1,1120.0,126.83333333333333,88.36500000000001
1,815.0,97.89,539.36,539.0,815.0,97.89
1,601.0,497.7,644.12,644.0,601.0,497.7
7,817.0,1127.87,1809.91,1810.0,116.71428571428571,161.1242857142857
